01.01.2013	 Neujahr
06.01.2013	 Heilige Drei Könige
29.03.2013	 Karfreitag
01.04.2013	 Ostermontag
01.05.2013	 Maifeiertag
09.05.2013	 Christi Himmelfahrt
20.05.2013	 Pfingstmontag
30.05.2013	 Fronleichnam
15.08.2013	 Mariä Himmelfahrt
03.10.2013	 Tag der Deutschen Einheit
01.11.2013	 Allerheiligen
25.12.2013	 1. Weihnachtstag
26.12.2013	 2. Weihnachtstag
01.01.2014	 Neujahr
06.01.2014	 Heilige Drei Könige
18.04.2014	 Karfreitag
21.04.2014	 Ostermontag
01.05.2014	 Maifeiertag
29.05.2014	 Christi Himmelfahrt
09.06.2014	 Pfingstmontag
19.06.2014	 Fronleichnam
15.08.2014	 Mariä Himmelfahrt
03.10.2014	 Tag der Deutschen Einheit
01.11.2014	 Allerheiligen
25.12.2014	 1. Weihnachtstag
26.12.2014	 2. Weihnachtstag
